time,temperature,humidity,pressure,people
2020-07-08 04:45:00+00:00,27.5,42.3,1021.5,1.0
2020-07-08 04:50:00+00:00,27.4,42.2,1021.5,1.0
2020-07-08 04:55:00+00:00,27.5,42.3,1021.5,1.0
2020-07-08 05:00:00+00:00,27.45,42.2,1021.5,0.0
2020-07-08 05:05:00+00:00,27.4,42.2,1021.5,0.0
2020-07-08 05:10:00+00:00,27.45,42.2,1021.5,1.0
2020-07-08 05:15:00+00:00,27.4,42.150000000000006,1021.5,1.0
2020-07-08 05:20:00+00:00,27.3,42.2,1021.5,1.0
2020-07-08 05:25:00+00:00,27.4,42.3,1021.5,1.0
2020-07-08 05:30:00+00:00,27.35,42.3,1021.5,1.0
2020-07-08 05:35:00+00:00,27.35,42.3,1021.5,1.0
2020-07-08 05:40:00+00:00,27.35,42.349999999999994,1021.5,1.0
2020-07-08 05:45:00+00:00,27.5,42.4,1021.5,1.0
2020-07-08 05:50:00+00:00,27.65,42.5,1021.5,1.0
2020-07-08 05:55:00+00:00,27.9,42.3,1021.4375,1.0
2020-07-08 06:00:00+00:00,28.0,42.1,1021.6666666666666,0.0
2020-07-08 06:05:00+00:00,28.0,41.8,1021.5,0.0
2020-07-08 06:10:00+00:00,28.0,41.8,1021.4375,1.0
2020-07-08 06:15:00+00:00,28.0,41.650000000000006,1021.5,1.0
2020-07-08 06:20:00+00:00,28.05,41.5,1021.5,1.0
2020-07-08 06:25:00+00:00,27.9,41.4,1021.5,1.0
2020-07-08 06:30:00+00:00,27.8,41.5,1021.5,0.0
2020-07-08 06:35:00+00:00,27.6,41.7,1021.5,0.0
2020-07-08 06:40:00+00:00,27.5,41.8,1021.5,0.0
2020-07-08 06:45:00+00:00,27.4,41.9,1021.5,0.0
2020-07-08 06:50:00+00:00,27.3,42.1,1021.5,1.0
2020-07-08 06:55:00+00:00,27.35,42.2,1021.5,1.0
2020-07-08 07:00:00+00:00,27.2,42.25,1021.5,1.0
2020-07-08 07:05:00+00:00,27.25,42.3,1021.5,1.0
2020-07-08 07:10:00+00:00,27.25,42.4,1021.5,0.0
2020-07-08 07:15:00+00:00,27.15,42.5,1021.5,0.0
2020-07-08 07:20:00+00:00,27.15,42.6,1021.5,1.0
2020-07-08 07:25:00+00:00,27.15,42.6,1021.5,1.0
2020-07-08 07:30:00+00:00,27.15,42.7,1021.5,1.0
2020-07-08 07:35:00+00:00,27.15,42.75,1021.5,1.0
2020-07-08 07:40:00+00:00,27.15,42.9,1021.5,1.0
2020-07-08 07:45:00+00:00,27.1,42.95,1021.5,1.0
2020-07-08 07:50:00+00:00,27.2,42.95,1021.5,1.0
2020-07-08 07:55:00+00:00,27.15,43.0,1021.5,1.0
2020-07-08 08:00:00+00:00,27.25,43.05,1021.5,0.0
2020-07-08 08:05:00+00:00,27.3,43.0,1021.5,0.0
2020-07-08 08:10:00+00:00,27.2,42.9,1021.5,0.0
2020-07-08 08:15:00+00:00,27.3,43.0,1021.5,0.0
2020-07-08 08:20:00+00:00,27.25,42.95,1021.5,0.0
2020-07-08 08:25:00+00:00,27.35,43.1,1021.5,0.0
2020-07-08 08:30:00+00:00,27.35,43.150000000000006,1021.5,0.0
2020-07-08 08:35:00+00:00,27.4,43.1,1021.5,0.0
2020-07-08 08:40:00+00:00,27.45,42.8,1021.5,0.0
2020-07-08 08:45:00+00:00,27.45,42.7,1021.5,0.0
2020-07-08 08:50:00+00:00,27.45,42.5,1021.5,0.0
2020-07-08 08:55:00+00:00,27.45,42.3,1021.5,0.0
2020-07-08 09:00:00+00:00,27.5,42.25,1021.5,1.0
2020-07-08 09:05:00+00:00,27.5,42.3,1021.5,1.0
2020-07-08 09:10:00+00:00,27.55,42.4,1021.5,1.0
2020-07-08 09:15:00+00:00,27.55,42.6,1021.5,1.0
2020-07-08 09:20:00+00:00,27.55,42.8,1021.5,1.0
2020-07-08 09:25:00+00:00,27.65,42.9,1021.5,1.0
2020-07-08 09:30:00+00:00,27.65,42.9,1021.5,1.0
2020-07-08 09:35:00+00:00,27.65,42.9,1021.5,1.0
2020-07-08 09:40:00+00:00,27.7,43.1,1021.5,1.0
2020-07-08 09:45:00+00:00,27.8,43.2,1021.5,1.0
2020-07-08 09:50:00+00:00,27.9,43.2,1021.5,1.0
2020-07-08 09:55:00+00:00,28.2,43.0,1021.5,1.0
2020-07-08 10:00:00+00:00,28.4,42.9,1021.0,1.0
2020-07-08 10:05:00+00:00,28.3,42.849999999999994,1021.5,1.0
